dataset,model,seed,split_seed,train_split,val_split,test_split,Accuracy,Statistical Parity Difference,Equal Opportunity Difference,Overall Accuracy Equality Difference,Treatment Equality Difference,diagnostics_n_test,diagnostics_n_S0,diagnostics_n_S1,diagnostics_n_pos_S0,diagnostics_n_pos_S1,diagnostics_TPR_denom_S0,diagnostics_TPR_denom_S1,diagnostics_FPR_denom_S0,diagnostics_FPR_denom_S1,diagnostics_pred_pos_overall,diagnostics_pred_pos_S0,diagnostics_pred_pos_S1,diagnostics_TPR_S0,diagnostics_TPR_S1,diagnostics_FPR_S0,diagnostics_FPR_S1
credit,GAT,15,42,,,,0.1140,0.0345,0.0631,0.1063,48.6993,,,,,,,,,,,,,,,,
credit,GAT,16,42,,,,0.6295,0.0317,0.0225,0.1924,11.1212,,,,,,,,,,,,,,,,
credit,GAT,17,42,,,,0.1256,0.0163,0.0160,0.1317,0.0045,,,,,,,,,,,,,,,,
credit,GAT,18,42,,,,0.6514,0.0000,0.0000,0.1924,0.0000,,,,,,,,,,,,,,,,
credit,GAT,19,42,,,,0.6514,0.0000,0.0000,0.1924,0.0000,,,,,,,,,,,,,,,,
credit,GAT,20,42,,,,0.1473,0.0000,0.0000,0.0450,0.0000,,,,,,,,,,,,,,,,
credit,GAT,21,42,,,,0.4892,0.0973,0.1580,0.3188,8.4091,,,,,,,,,,,,,,,,
credit,GAT,22,42,,,,0.1243,0.0149,0.0106,0.1317,0.0000,,,,,,,,,,,,,,,,
credit,GAT,23,42,,,,0.1516,0.0279,0.0662,0.0566,9.0000,,,,,,,,,,,,,,,,
credit,GAT,24,42,,,,0.6395,0.0173,0.0123,0.1924,20.3889,,,,,,,,,,,,,,,,
credit,GAT,25,42,,,,0.2792,0.1019,0.1051,0.1754,4.3826,,,,,,,,,,,,,,,,
credit,GAT,26,42,,,,0.6514,0.0149,0.0000,0.1924,0.0323,,,,,,,,,,,,,,,,
credit,GAT,27,42,,,,0.1473,0.0245,0.0629,0.0630,9.0000,,,,,,,,,,,,,,,,
credit,GAT,28,42,,,,0.1623,0.0710,0.2040,0.0291,3.6159,,,,,,,,,,,,,,,,
credit,GAT,29,42,,,,0.1260,0.0178,0.0123,0.1317,0.0034,,,,,,,,,,,,,,,,
credit,GIN,0,42,,,,0.6514,0.0000,0.0000,0.1924,0.0000,,,,,,,,,,,,,,,,
credit,GIN,1,42,,,,0.6734,0.0381,0.1271,0.2687,7.5833,,,,,,,,,,,,,,,,
credit,GIN,2,42,,,,0.6514,0.0000,0.0000,0.1924,0.0000,,,,,,,,,,,,,,,,
credit,GIN,3,42,,,,0.6921,0.0572,0.1633,0.2323,76.9519,,,,,,,,,,,,,,,,
credit,GIN,4,42,,,,0.6331,0.0710,0.1745,0.2920,10.3086,,,,,,,,,,,,,,,,
credit,GIN,5,42,,,,0.6691,0.0629,0.1720,0.2751,10.8194,,,,,,,,,,,,,,,,
credit,GIN,6,42,,,,0.6874,0.0398,0.1608,0.2652,8.4026,,,,,,,,,,,,,,,,
credit,GIN,7,42,,,,0.6774,0.0297,0.1230,0.2518,9.7500,,,,,,,,,,,,,,,,
credit,GIN,8,42,,,,0.6514,0.0000,0.0000,0.1924,0.0000,,,,,,,,,,,,,,,,
credit,GIN,9,42,,,,0.6611,0.0144,0.0597,0.2179,22.7500,,,,,,,,,,,,,,,,
credit,GIN,10,42,,,,0.6794,0.0530,0.1628,0.2695,135.1547,,,,,,,,,,,,,,,,
credit,GIN,11,42,,,,0.6514,0.0000,0.0000,0.1924,0.0000,,,,,,,,,,,,,,,,
credit,GIN,12,42,,,,0.6728,0.0254,0.1064,0.2433,11.3750,,,,,,,,,,,,,,,,
credit,GIN,13,42,,,,0.6871,0.0434,0.1568,0.2510,807.4773,,,,,,,,,,,,,,,,
credit,GIN,14,42,,,,0.6514,0.0000,0.0000,0.1924,0.0000,,,,,,,,,,,,,,,,
credit,GIN,15,42,,,,0.6365,0.0953,0.2089,0.3471,22.1254,,,,,,,,,,,,,,,,
credit,GIN,16,42,,,,0.6701,0.0890,0.1955,0.2920,64.4664,,,,,,,,,,,,,,,,
credit,GIN,17,42,,,,0.6758,0.0379,0.1384,0.2496,420.9924,,,,,,,,,,,,,,,,
credit,GIN,18,42,,,,0.6514,0.0000,0.0000,0.1924,0.0000,,,,,,,,,,,,,,,,
credit,GIN,19,42,,,,0.6794,0.0551,0.1791,0.3130,538.5844,,,,,,,,,,,,,,,,
credit,GIN,20,42,,,,0.6514,0.0000,0.0000,0.1924,0.0000,,,,,,,,,,,,,,,,
credit,GIN,21,42,,,,0.6584,0.0701,0.1830,0.3132,254.2058,,,,,,,,,,,,,,,,
credit,GIN,22,42,,,,0.6514,0.0000,0.0000,0.1924,0.0000,,,,,,,,,,,,,,,,
credit,GIN,23,42,,,,0.6771,0.0379,0.1473,0.2666,274.3352,,,,,,,,,,,,,,,,
credit,GIN,24,42,,,,0.6794,0.0678,0.1773,0.2708,96.1899,,,,,,,,,,,,,,,,
credit,GIN,25,42,,,,0.6818,0.0604,0.1713,0.2751,378.7206,,,,,,,,,,,,,,,,
credit,GIN,26,42,,,,0.6751,0.0614,0.1727,0.2645,16.1763,,,,,,,,,,,,,,,,
credit,GIN,27,42,,,,0.6514,0.0000,0.0000,0.1924,0.0000,,,,,,,,,,,,,,,,
credit,GIN,28,42,,,,0.6898,0.0477,0.1599,0.2390,268.5840,,,,,,,,,,,,,,,,
credit,GIN,29,42,,,,0.6514,0.0000,0.0000,0.1924,0.0000,,,,,,,,,,,,,,,,
german,GCN,0,42,,,,0.2376,0.0222,0.0417,0.1421,0.0455,,,,,,,,,,,,,,,,
german,GCN,1,42,,,,0.2970,0.0667,0.0833,0.1228,0.2182,,,,,,,,,,,,,,,,
german,GCN,2,42,,,,0.3960,0.2351,0.2302,0.0879,4.7143,,,,,,,,,,,,,,,,
german,GCN,3,42,,,,0.3366,0.0799,0.1634,0.1035,4.5652,,,,,,,,,,,,,,,,
german,GCN,4,42,,,,0.3168,0.0351,0.0952,0.1424,7.0000,,,,,,,,,,,,,,,,
german,GCN,5,42,,,,0.4158,0.0971,0.2230,0.1509,1.9783,,,,,,,,,,,,,,,,
german,GCN,6,42,,,,0.3861,0.1006,0.2036,0.1509,2.5714,,,,,,,,,,,,,,,,
german,GCN,7,42,,,,0.3465,0.0667,0.1369,0.1667,1.9783,,,,,,,,,,,,,,,,
german,GCN,8,42,,,,0.2277,0.0000,0.0000,0.1421,0.0000,,,,,,,,,,,,,,,,
german,GCN,9,42,,,,0.3762,0.1566,0.2495,0.1555,2.1429,,,,,,,,,,,,,,,,
german,GCN,10,42,,,,0.3960,0.1207,0.2601,0.1509,1.9783,,,,,,,,,,,,,,,,
german,GCN,11,42,,,,0.4554,0.3808,0.4663,0.2697,1.1429,,,,,,,,,,,,,,,,
german,GCN,12,42,,,,0.2376,0.0222,0.0417,0.1421,0.0000,,,,,,,,,,,,,,,,
german,GCN,13,42,,,,0.3267,0.1263,0.2007,0.1000,5.0440,,,,,,,,,,,,,,,,
german,GCN,14,42,,,,0.3960,0.1547,0.2224,0.1070,2.3571,,,,,,,,,,,,,,,,
german,GCN,15,42,,,,0.2673,0.0808,0.1058,0.1061,5.7826,,,,,,,,,,,,,,,,
german,GCN,16,42,,,,0.2970,0.0838,0.1918,0.2515,6.0870,,,,,,,,,,,,,,,,
german,GCN,17,42,,,,0.3960,0.2375,0.3704,0.2751,4.8462,,,,,,,,,,,,,,,,
german,GCN,18,42,,,,0.3663,0.1354,0.1296,0.0933,3.8571,,,,,,,,,,,,,,,,
german,GCN,19,42,,,,0.3663,0.0973,0.1217,0.1368,6.0000,,,,,,,,,,,,,,,,
