dataset,model,n_seeds,Accuracy_mean,Accuracy_std,Accuracy,Statistical Parity Difference_mean,Statistical Parity Difference_std,Statistical Parity Difference,Equal Opportunity Difference_mean,Equal Opportunity Difference_std,Equal Opportunity Difference,Overall Accuracy Equality Difference_mean,Overall Accuracy Equality Difference_std,Overall Accuracy Equality Difference,Treatment Equality Difference_mean,Treatment Equality Difference_std,Treatment Equality Difference
bail,GAT,30,0.5062,0.1192,0.5062 ± 0.1192,0.0749,0.1157,0.0749 ± 0.1157,0.0755,0.1164,0.0755 ± 0.1164,0.4082,0.0934,0.4082 ± 0.0934,56.3796,103.1384,56.3796 ± 103.1384
bail,GCN,30,0.5632,0.0010,0.5632 ± 0.0010,0.0082,0.0156,0.0082 ± 0.0156,0.0074,0.0131,0.0074 ± 0.0131,0.4374,0.0062,0.4374 ± 0.0062,51.3001,90.5745,51.3001 ± 90.5745
bail,GIN,30,0.5603,0.0050,0.5603 ± 0.0050,0.0199,0.0343,0.0199 ± 0.0343,0.0213,0.0342,0.0213 ± 0.0342,0.4346,0.0130,0.4346 ± 0.0130,68.0536,92.5656,68.0536 ± 92.5656
credit,GAT,30,0.3806,0.2497,0.3806 ± 0.2497,0.0270,0.0363,0.0270 ± 0.0363,0.0481,0.0823,0.0481 ± 0.0823,0.1473,0.0692,0.1473 ± 0.0692,8.0940,23.8177,8.0940 ± 23.8177
credit,GCN,30,0.6290,0.0604,0.6290 ± 0.0604,0.0182,0.0351,0.0182 ± 0.0351,0.0317,0.0706,0.0317 ± 0.0706,0.1831,0.0262,0.1831 ± 0.0262,75.2404,175.0453,75.2404 ± 175.0453
credit,GIN,30,0.6657,0.0162,0.6657 ± 0.0162,0.0352,0.0303,0.0352 ± 0.0303,0.1047,0.0800,0.1047 ± 0.0800,0.2441,0.0446,0.2441 ± 0.0446,114.4984,196.6021,114.4984 ± 196.6021
german,GAT,30,0.3112,0.0768,0.3112 ± 0.0768,0.0735,0.0884,0.0735 ± 0.0884,0.1043,0.1187,0.1043 ± 0.1187,0.1426,0.0430,0.1426 ± 0.0430,2.4895,2.8529,2.4895 ± 2.8529
german,GCN,30,0.3498,0.0678,0.3498 ± 0.0678,0.1411,0.1039,0.1411 ± 0.1039,0.2116,0.1419,0.2116 ± 0.1419,0.1591,0.0553,0.1591 ± 0.0553,3.1717,2.1890,3.1717 ± 2.1890
german,GIN,30,0.3564,0.0358,0.3564 ± 0.0358,0.1307,0.1005,0.1307 ± 0.1005,0.1915,0.1333,0.1915 ± 0.1333,0.1558,0.0488,0.1558 ± 0.0488,4.1933,2.9348,4.1933 ± 2.9348
