dataset,model,n_seeds,Accuracy_mean,Accuracy_std,Accuracy,Accuracy_ci_low,Accuracy_ci_high,SPD_mean,SPD_std,SPD,SPD_ci_low,SPD_ci_high,EOD_mean,EOD_std,EOD,EOD_ci_low,EOD_ci_high,OAED_mean,OAED_std,OAED,OAED_ci_low,OAED_ci_high,TED_mean,TED_std,TED,TED_ci_low,TED_ci_high,diagnostics_n_test,diagnostics_n_S0,diagnostics_n_S1,diagnostics_n_pos_S0,diagnostics_n_pos_S1,diagnostics_TPR_denom_S0,diagnostics_TPR_denom_S1,diagnostics_FPR_denom_S0,diagnostics_FPR_denom_S1,diagnostics_pred_pos_overall_mean,diagnostics_pred_pos_overall_std,diagnostics_pred_pos_S0_mean,diagnostics_pred_pos_S0_std,diagnostics_pred_pos_S1_mean,diagnostics_pred_pos_S1_std,diagnostics_TPR_S0_mean,diagnostics_TPR_S0_std,diagnostics_TPR_S1_mean,diagnostics_TPR_S1_std,diagnostics_FPR_S0_mean,diagnostics_FPR_S0_std,diagnostics_FPR_S1_mean,diagnostics_FPR_S1_std
bail,GAT,30,0.5062,0.1192,0.5062 ± 0.1192,0.4598,0.5450,0.0749,0.1157,0.0749 ± 0.1157,0.0383,0.1174,0.0755,0.1164,0.0755 ± 0.1164,0.0380,0.1194,0.4082,0.0934,0.4082 ± 0.0934,0.3735,0.4392,56.3796,103.1384,56.3796 ± 103.1384,24.1022,95.5105,,,,,,,,,,,,,,,,,,,,,,,
bail,GCN,30,0.5632,0.0010,0.5632 ± 0.0010,0.5629,0.5636,0.0082,0.0156,0.0082 ± 0.0156,0.0035,0.0142,0.0074,0.0131,0.0074 ± 0.0131,0.0033,0.0122,0.4374,0.0062,0.4374 ± 0.0062,0.4349,0.4392,51.3001,90.5745,51.3001 ± 90.5745,22.1094,85.3819,,,,,,,,,,,,,,,,,,,,,,,
bail,GIN,30,0.5603,0.0050,0.5603 ± 0.0050,0.5585,0.5619,0.0199,0.0343,0.0199 ± 0.0343,0.0094,0.0334,0.0213,0.0342,0.0213 ± 0.0342,0.0103,0.0347,0.4346,0.0130,0.4346 ± 0.0130,0.4298,0.4391,68.0536,92.5656,68.0536 ± 92.5656,38.3522,104.4700,,,,,,,,,,,,,,,,,,,,,,,
credit,GAT,30,0.3806,0.2497,0.3806 ± 0.2497,0.2955,0.4717,0.0270,0.0363,0.0270 ± 0.0363,0.0151,0.0399,0.0481,0.0823,0.0481 ± 0.0823,0.0229,0.0805,0.1473,0.0692,0.1473 ± 0.0692,0.1230,0.1707,8.0940,23.8177,8.0940 ± 23.8177,1.7611,18.0682,,,,,,,,,,,,,,,,,,,,,,,
credit,GCN,30,0.6290,0.0604,0.6290 ± 0.0604,0.6044,0.6457,0.0182,0.0351,0.0182 ± 0.0351,0.0070,0.0322,0.0317,0.0706,0.0317 ± 0.0706,0.0099,0.0602,0.1831,0.0262,0.1831 ± 0.0262,0.1732,0.1913,75.2404,175.0453,75.2404 ± 175.0453,26.0195,149.8919,,,,,,,,,,,,,,,,,,,,,,,
credit,GIN,30,0.6657,0.0162,0.6657 ± 0.0162,0.6600,0.6715,0.0352,0.0303,0.0352 ± 0.0303,0.0246,0.0466,0.1047,0.0800,0.1047 ± 0.0800,0.0770,0.1339,0.2441,0.0446,0.2441 ± 0.0446,0.2283,0.2609,114.4984,196.6021,114.4984 ± 196.6021,52.9006,188.1565,,,,,,,,,,,,,,,,,,,,,,,
german,GAT,30,0.3112,0.0768,0.3112 ± 0.0768,0.2855,0.3380,0.0735,0.0884,0.0735 ± 0.0884,0.0437,0.1057,0.1043,0.1187,0.1043 ± 0.1187,0.0642,0.1466,0.1426,0.0430,0.1426 ± 0.0430,0.1272,0.1581,2.4895,2.8529,2.4895 ± 2.8529,1.5169,3.5238,,,,,,,,,,,,,,,,,,,,,,,
german,GCN,30,0.3498,0.0678,0.3498 ± 0.0678,0.3267,0.3729,0.1411,0.1039,0.1411 ± 0.1039,0.1043,0.1767,0.2116,0.1419,0.2116 ± 0.1419,0.1649,0.2584,0.1591,0.0553,0.1591 ± 0.0553,0.1405,0.1787,3.1717,2.1890,3.1717 ± 2.1890,2.3498,3.9294,,,,,,,,,,,,,,,,,,,,,,,
german,GIN,30,0.3564,0.0358,0.3564 ± 0.0358,0.3436,0.3686,0.1307,0.1005,0.1307 ± 0.1005,0.0963,0.1661,0.1915,0.1333,0.1915 ± 0.1333,0.1440,0.2378,0.1558,0.0488,0.1558 ± 0.0488,0.1399,0.1743,4.1933,2.9348,4.1933 ± 2.9348,3.0954,5.2143,,,,,,,,,,,,,,,,,,,,,,,
