dataset,model,seed,split_seed,train_split,val_split,test_split,Accuracy,Statistical Parity Difference,Equal Opportunity Difference,Overall Accuracy Equality Difference,Treatment Equality Difference,diagnostics_n_test,diagnostics_n_S0,diagnostics_n_S1,diagnostics_n_pos_S0,diagnostics_n_pos_S1,diagnostics_TPR_denom_S0,diagnostics_TPR_denom_S1,diagnostics_FPR_denom_S0,diagnostics_FPR_denom_S1,diagnostics_pred_pos_overall,diagnostics_pred_pos_S0,diagnostics_pred_pos_S1,diagnostics_TPR_S0,diagnostics_TPR_S1,diagnostics_FPR_S0,diagnostics_FPR_S1
credit,GAT,15,42,,,,0.2886,0.1179,0.1237,0.1914,0.1466,,,,,,,,,,,,,,,,
credit,GAT,16,42,,,,0.2213,0.0000,0.0000,0.2359,0.0000,,,,,,,,,,,,,,,,
credit,GAT,17,42,,,,0.7787,0.0000,0.0000,0.2359,0.0000,,,,,,,,,,,,,,,,
credit,GAT,18,42,,,,0.7787,0.0000,0.0000,0.2359,0.0000,,,,,,,,,,,,,,,,
credit,GAT,19,42,,,,0.7787,0.0000,0.0000,0.2359,0.0000,,,,,,,,,,,,,,,,
credit,GAT,20,42,,,,0.7787,0.0000,0.0000,0.2359,0.0000,,,,,,,,,,,,,,,,
credit,GAT,21,42,,,,0.7787,0.0000,0.0000,0.2359,0.0000,,,,,,,,,,,,,,,,
credit,GAT,22,42,,,,0.2213,0.0000,0.0000,0.2359,0.0000,,,,,,,,,,,,,,,,
credit,GAT,23,42,,,,0.7787,0.0000,0.0000,0.2359,0.0000,,,,,,,,,,,,,,,,
credit,GAT,24,42,,,,0.6261,0.2158,0.2303,0.1423,1.3332,,,,,,,,,,,,,,,,
credit,GAT,25,42,,,,0.3232,0.1887,0.1815,0.2488,0.3258,,,,,,,,,,,,,,,,
credit,GAT,26,42,,,,0.7787,0.0000,0.0000,0.2359,0.0000,,,,,,,,,,,,,,,,
credit,GAT,27,42,,,,0.2309,0.0192,0.0190,0.2359,0.0202,,,,,,,,,,,,,,,,
credit,GAT,28,42,,,,0.7787,0.0000,0.0000,0.2359,0.0000,,,,,,,,,,,,,,,,
credit,GAT,29,42,,,,0.2213,0.0000,0.0000,0.2359,0.0000,,,,,,,,,,,,,,,,
credit,GIN,0,42,,,,0.7787,0.0000,0.0000,0.2359,0.0000,,,,,,,,,,,,,,,,
credit,GIN,1,42,,,,0.7787,0.0000,0.0000,0.2359,0.0000,,,,,,,,,,,,,,,,
credit,GIN,2,42,,,,0.7787,0.0000,0.0000,0.2359,0.0000,,,,,,,,,,,,,,,,
credit,GIN,3,42,,,,0.7787,0.0000,0.0000,0.2359,0.0000,,,,,,,,,,,,,,,,
credit,GIN,4,42,,,,0.7787,0.0000,0.0000,0.2359,0.0000,,,,,,,,,,,,,,,,
credit,GIN,5,42,,,,0.7787,0.0000,0.0000,0.2359,0.0000,,,,,,,,,,,,,,,,
credit,GIN,6,42,,,,0.7787,0.0000,0.0000,0.2359,0.0000,,,,,,,,,,,,,,,,
credit,GIN,7,42,,,,0.7787,0.0000,0.0000,0.2359,0.0000,,,,,,,,,,,,,,,,
credit,GIN,8,42,,,,0.7787,0.0000,0.0000,0.2359,0.0000,,,,,,,,,,,,,,,,
credit,GIN,9,42,,,,0.7787,0.0000,0.0000,0.2359,0.0000,,,,,,,,,,,,,,,,
credit,GIN,10,42,,,,0.7787,0.0000,0.0000,0.2359,0.0000,,,,,,,,,,,,,,,,
credit,GIN,11,42,,,,0.7787,0.0000,0.0000,0.2359,0.0000,,,,,,,,,,,,,,,,
credit,GIN,12,42,,,,0.7787,0.0000,0.0000,0.2359,0.0000,,,,,,,,,,,,,,,,
credit,GIN,13,42,,,,0.7787,0.0000,0.0000,0.2359,0.0000,,,,,,,,,,,,,,,,
credit,GIN,14,42,,,,0.7787,0.0000,0.0000,0.2359,0.0000,,,,,,,,,,,,,,,,
credit,GIN,15,42,,,,0.7787,0.0000,0.0000,0.2359,0.0000,,,,,,,,,,,,,,,,
credit,GIN,16,42,,,,0.7787,0.0000,0.0000,0.2359,0.0000,,,,,,,,,,,,,,,,
credit,GIN,17,42,,,,0.7787,0.0000,0.0000,0.2359,0.0000,,,,,,,,,,,,,,,,
credit,GIN,18,42,,,,0.7787,0.0000,0.0000,0.2359,0.0000,,,,,,,,,,,,,,,,
credit,GIN,19,42,,,,0.7787,0.0000,0.0000,0.2359,0.0000,,,,,,,,,,,,,,,,
credit,GIN,20,42,,,,0.7787,0.0000,0.0000,0.2359,0.0000,,,,,,,,,,,,,,,,
credit,GIN,21,42,,,,0.7787,0.0000,0.0000,0.2359,0.0000,,,,,,,,,,,,,,,,
credit,GIN,22,42,,,,0.7787,0.0000,0.0000,0.2359,0.0000,,,,,,,,,,,,,,,,
credit,GIN,23,42,,,,0.7787,0.0000,0.0000,0.2359,0.0000,,,,,,,,,,,,,,,,
credit,GIN,24,42,,,,0.7787,0.0000,0.0000,0.2359,0.0000,,,,,,,,,,,,,,,,
credit,GIN,25,42,,,,0.7787,0.0000,0.0000,0.2359,0.0000,,,,,,,,,,,,,,,,
credit,GIN,26,42,,,,0.7787,0.0000,0.0000,0.2359,0.0000,,,,,,,,,,,,,,,,
credit,GIN,27,42,,,,0.7787,0.0000,0.0000,0.2359,0.0000,,,,,,,,,,,,,,,,
credit,GIN,28,42,,,,0.7787,0.0000,0.0000,0.2359,0.0000,,,,,,,,,,,,,,,,
credit,GIN,29,42,,,,0.7787,0.0000,0.0000,0.2359,0.0000,,,,,,,,,,,,,,,,
german,GCN,0,42,,,,0.7228,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GCN,1,42,,,,0.7228,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GCN,2,42,,,,0.7228,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GCN,3,42,,,,0.7228,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GCN,4,42,,,,0.7228,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GCN,5,42,,,,0.2772,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GCN,6,42,,,,0.2772,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GCN,7,42,,,,0.7228,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GCN,8,42,,,,0.2772,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GCN,9,42,,,,0.7228,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GCN,10,42,,,,0.2772,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GCN,11,42,,,,0.7228,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GCN,12,42,,,,0.7228,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GCN,13,42,,,,0.7228,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GCN,14,42,,,,0.2772,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GCN,15,42,,,,0.7228,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GCN,16,42,,,,0.7228,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GCN,17,42,,,,0.7228,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GCN,18,42,,,,0.7228,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GCN,19,42,,,,0.7228,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
