dataset,model,n_seeds,Accuracy_mean,Accuracy_std,Accuracy,Accuracy_ci_low,Accuracy_ci_high,SPD_mean,SPD_std,SPD,SPD_ci_low,SPD_ci_high,EOD_mean,EOD_std,EOD,EOD_ci_low,EOD_ci_high,OAED_mean,OAED_std,OAED,OAED_ci_low,OAED_ci_high,TED_mean,TED_std,TED,TED_ci_low,TED_ci_high,diagnostics_n_test,diagnostics_n_S0,diagnostics_n_S1,diagnostics_n_pos_S0,diagnostics_n_pos_S1,diagnostics_TPR_denom_S0,diagnostics_TPR_denom_S1,diagnostics_FPR_denom_S0,diagnostics_FPR_denom_S1,diagnostics_pred_pos_overall_mean,diagnostics_pred_pos_overall_std,diagnostics_pred_pos_S0_mean,diagnostics_pred_pos_S0_std,diagnostics_pred_pos_S1_mean,diagnostics_pred_pos_S1_std,diagnostics_TPR_S0_mean,diagnostics_TPR_S0_std,diagnostics_TPR_S1_mean,diagnostics_TPR_S1_std,diagnostics_FPR_S0_mean,diagnostics_FPR_S0_std,diagnostics_FPR_S1_mean,diagnostics_FPR_S1_std
bail,GAT,30,0.5837,0.1332,0.5837 ± 0.1332,0.5365,0.6298,0.1783,0.2400,0.1783 ± 0.2400,0.0998,0.2653,0.1683,0.2417,0.1683 ± 0.2417,0.0898,0.2670,0.1937,0.0794,0.1937 ± 0.0794,0.1682,0.2226,20.9049,49.7868,20.9049 ± 49.7868,6.1381,40.4826,,,,,,,,,,,,,,,,,,,,,,,
bail,GCN,30,0.8349,0.0259,0.8349 ± 0.0259,0.8251,0.8436,0.1174,0.0365,0.1174 ± 0.0365,0.1044,0.1299,0.1972,0.0623,0.1972 ± 0.0623,0.1754,0.2183,0.0856,0.0262,0.0856 ± 0.0262,0.0763,0.0949,0.2556,0.1741,0.2556 ± 0.1741,0.2020,0.3254,,,,,,,,,,,,,,,,,,,,,,,
bail,GIN,30,0.9008,0.0450,0.9008 ± 0.0450,0.8836,0.9142,0.1591,0.0491,0.1591 ± 0.0491,0.1416,0.1771,0.1516,0.0381,0.1516 ± 0.0381,0.1385,0.1642,0.1069,0.0511,0.1069 ± 0.0511,0.0908,0.1262,0.7610,0.8918,0.7610 ± 0.8918,0.4906,1.0975,,,,,,,,,,,,,,,,,,,,,,,
credit,GAT,30,0.5585,0.2653,0.5585 ± 0.2653,0.4642,0.6509,0.0225,0.0545,0.0225 ± 0.0545,0.0058,0.0427,0.0234,0.0561,0.0234 ± 0.0561,0.0064,0.0440,0.2295,0.0217,0.2295 ± 0.0217,0.2205,0.2361,0.6728,3.3115,0.6728 ± 3.3115,0.0144,1.9348,,,,,,,,,,,,,,,,,,,,,,,
credit,GCN,30,0.7561,0.0634,0.7561 ± 0.0634,0.7294,0.7731,0.0357,0.0596,0.0357 ± 0.0596,0.0174,0.0594,0.0367,0.0656,0.0367 ± 0.0656,0.0163,0.0625,0.2288,0.0339,0.2288 ± 0.0339,0.2144,0.2396,90.0845,172.6656,90.0845 ± 172.6656,37.7031,159.5901,,,,,,,,,,,,,,,,,,,,,,,
credit,GIN,30,0.7787,0.0000,0.7787 ± 0.0000,0.7787,0.7787,0.0000,0.0000,0.0000 ± 0.0000,0.0000,0.0000,0.0000,0.0000,0.0000 ± 0.0000,0.0000,0.0000,0.2359,0.0000,0.2359 ± 0.0000,0.2359,0.2359,0.0000,0.0000,0.0000 ± 0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
german,GAT,30,0.5297,0.2246,0.5297 ± 0.2246,0.4406,0.6040,0.0000,0.0000,0.0000 ± 0.0000,0.0000,0.0000,0.0000,0.0000,0.0000 ± 0.0000,0.0000,0.0000,0.3281,0.0000,0.3281 ± 0.0000,0.3281,0.3281,0.0000,0.0000,0.0000 ± 0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
german,GCN,30,0.5891,0.2077,0.5891 ± 0.2077,0.5149,0.6634,0.0000,0.0000,0.0000 ± 0.0000,0.0000,0.0000,0.0000,0.0000,0.0000 ± 0.0000,0.0000,0.0000,0.3281,0.0000,0.3281 ± 0.0000,0.3281,0.3281,0.0000,0.0000,0.0000 ± 0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
german,GIN,30,0.7142,0.0214,0.7142 ± 0.0214,0.7059,0.7208,0.0271,0.0617,0.0271 ± 0.0617,0.0081,0.0523,0.0255,0.0566,0.0255 ± 0.0566,0.0080,0.0468,0.3113,0.0370,0.3113 ± 0.0370,0.2979,0.3225,0.6320,1.7037,0.6320 ± 1.7037,0.1222,1.3087,,,,,,,,,,,,,,,,,,,,,,,
