dataset,model,n_seeds,Accuracy_mean,Accuracy_std,Accuracy,Statistical Parity Difference_mean,Statistical Parity Difference_std,Statistical Parity Difference,Equal Opportunity Difference_mean,Equal Opportunity Difference_std,Equal Opportunity Difference,Overall Accuracy Equality Difference_mean,Overall Accuracy Equality Difference_std,Overall Accuracy Equality Difference,Treatment Equality Difference_mean,Treatment Equality Difference_std,Treatment Equality Difference
bail,GAT,30,0.5837,0.1332,0.5837 ± 0.1332,0.1783,0.2400,0.1783 ± 0.2400,0.1683,0.2417,0.1683 ± 0.2417,0.1937,0.0794,0.1937 ± 0.0794,20.9049,49.7868,20.9049 ± 49.7868
bail,GCN,30,0.8349,0.0259,0.8349 ± 0.0259,0.1174,0.0365,0.1174 ± 0.0365,0.1972,0.0623,0.1972 ± 0.0623,0.0856,0.0262,0.0856 ± 0.0262,0.2556,0.1741,0.2556 ± 0.1741
bail,GIN,30,0.9008,0.0450,0.9008 ± 0.0450,0.1591,0.0491,0.1591 ± 0.0491,0.1516,0.0381,0.1516 ± 0.0381,0.1069,0.0511,0.1069 ± 0.0511,0.7610,0.8918,0.7610 ± 0.8918
credit,GAT,30,0.5585,0.2653,0.5585 ± 0.2653,0.0225,0.0545,0.0225 ± 0.0545,0.0234,0.0561,0.0234 ± 0.0561,0.2295,0.0217,0.2295 ± 0.0217,0.6728,3.3115,0.6728 ± 3.3115
credit,GCN,30,0.7561,0.0634,0.7561 ± 0.0634,0.0357,0.0596,0.0357 ± 0.0596,0.0367,0.0656,0.0367 ± 0.0656,0.2288,0.0339,0.2288 ± 0.0339,90.0845,172.6656,90.0845 ± 172.6656
credit,GIN,30,0.7787,0.0000,0.7787 ± 0.0000,0.0000,0.0000,0.0000 ± 0.0000,0.0000,0.0000,0.0000 ± 0.0000,0.2359,0.0000,0.2359 ± 0.0000,0.0000,0.0000,0.0000 ± 0.0000
german,GAT,30,0.5297,0.2246,0.5297 ± 0.2246,0.0000,0.0000,0.0000 ± 0.0000,0.0000,0.0000,0.0000 ± 0.0000,0.3281,0.0000,0.3281 ± 0.0000,0.0000,0.0000,0.0000 ± 0.0000
german,GCN,30,0.5891,0.2077,0.5891 ± 0.2077,0.0000,0.0000,0.0000 ± 0.0000,0.0000,0.0000,0.0000 ± 0.0000,0.3281,0.0000,0.3281 ± 0.0000,0.0000,0.0000,0.0000 ± 0.0000
german,GIN,30,0.7142,0.0214,0.7142 ± 0.0214,0.0271,0.0617,0.0271 ± 0.0617,0.0255,0.0566,0.0255 ± 0.0566,0.3113,0.0370,0.3113 ± 0.0370,0.6320,1.7037,0.6320 ± 1.7037
