dataset,model_a,model_b,metric,diff_mean,diff_std,diff_ci_low,diff_ci_high,n_seeds
credit,GAT,GIN,Overall Accuracy Equality Difference,0.0109,0.0212,0.0057,0.0172,49
credit,GAT,GIN,Treatment Equality Difference,-1.2816,3.6573,-2.3416,-0.3801,49
credit,GAT,GIN+PFR,Accuracy,0.1989,0.2203,0.0687,0.3308,10
credit,GAT,GIN+PFR,Statistical Parity Difference,-0.0336,0.0500,-0.0674,-0.0098,10
credit,GAT,GIN+PFR,Equal Opportunity Difference,-0.0398,0.0559,-0.0769,-0.0120,10
credit,GAT,GIN+PFR,Overall Accuracy Equality Difference,0.0321,0.0362,0.0117,0.0541,10
credit,GAT,GIN+PFR,Treatment Equality Difference,-2.7762,5.6688,-6.5999,-0.4008,10
credit,GAT+FAME,GAT+FAME+PFR,Accuracy,-0.0010,0.0046,-0.0040,0.0012,10
credit,GAT+FAME,GAT+FAME+PFR,Statistical Parity Difference,0.0027,0.0074,-0.0014,0.0076,10
credit,GAT+FAME,GAT+FAME+PFR,Equal Opportunity Difference,0.0038,0.0098,-0.0014,0.0099,10
credit,GAT+FAME,GAT+FAME+PFR,Overall Accuracy Equality Difference,-0.0024,0.0079,-0.0076,0.0018,10
credit,GAT+FAME,GAT+FAME+PFR,Treatment Equality Difference,0.0078,0.0296,-0.0082,0.0262,10
credit,GAT+FAME,GAT+PFR,Accuracy,-0.1791,0.1953,-0.2956,-0.0713,10
credit,GAT+FAME,GAT+PFR,Statistical Parity Difference,0.0478,0.0583,0.0150,0.0834,10
credit,GAT+FAME,GAT+PFR,Equal Opportunity Difference,0.0562,0.0629,0.0216,0.0923,10
credit,GAT+FAME,GAT+PFR,Overall Accuracy Equality Difference,-0.0244,0.0316,-0.0422,-0.0066,10
credit,GAT+FAME,GAT+PFR,Treatment Equality Difference,17.3497,52.1036,0.3667,50.4525,10
credit,GAT+FAME,GCN,Accuracy,-0.0154,0.0684,-0.0337,0.0020,50
credit,GAT+FAME,GCN,Statistical Parity Difference,0.0169,0.0657,0.0014,0.0360,50
credit,GAT+FAME,GCN,Equal Opportunity Difference,0.0156,0.0589,0.0006,0.0328,50
credit,GAT+FAME,GCN,Overall Accuracy Equality Difference,-0.0091,0.0198,-0.0148,-0.0041,50
credit,GAT+FAME,GCN,Treatment Equality Difference,0.2124,0.9220,0.0190,0.5135,50
credit,GAT+FAME,GCN+FAME,Accuracy,0.0092,0.0327,0.0017,0.0188,50
credit,GAT+FAME,GCN+FAME,Statistical Parity Difference,0.0033,0.0276,-0.0049,0.0103,50
credit,GAT+FAME,GCN+FAME,Equal Opportunity Difference,0.0069,0.0322,-0.0035,0.0149,50
credit,GAT+FAME,GCN+FAME,Overall Accuracy Equality Difference,0.0103,0.0170,0.0058,0.0149,50
credit,GAT+FAME,GCN+FAME,Treatment Equality Difference,-0.0101,0.1531,-0.0600,0.0221,50
credit,GAT+FAME,GCN+FAME+PFR,Accuracy,0.0073,0.0181,0.0006,0.0192,10
credit,GAT+FAME,GCN+FAME+PFR,Statistical Parity Difference,-0.0004,0.0138,-0.0088,0.0074,10
credit,GAT+FAME,GCN+FAME+PFR,Equal Opportunity Difference,0.0024,0.0128,-0.0039,0.0112,10
credit,GAT+FAME,GCN+FAME+PFR,Overall Accuracy Equality Difference,0.0048,0.0072,0.0015,0.0093,10
credit,GAT+FAME,GCN+FAME+PFR,Treatment Equality Difference,-0.0193,0.0766,-0.0691,0.0161,10
credit,GAT+FAME,GCN+PFR,Accuracy,-0.0044,0.0313,-0.0228,0.0144,10
credit,GAT+FAME,GCN+PFR,Statistical Parity Difference,0.0052,0.0147,-0.0030,0.0147,10
credit,GAT+FAME,GCN+PFR,Equal Opportunity Difference,0.0056,0.0125,-0.0005,0.0138,10
credit,GAT+FAME,GCN+PFR,Overall Accuracy Equality Difference,-0.0065,0.0118,-0.0142,-0.0007,10
credit,GAT+FAME,GCN+PFR,Treatment Equality Difference,0.0163,0.1139,-0.0501,0.0809,10
credit,GAT+FAME,GIN,Accuracy,0.0102,0.0332,0.0027,0.0210,49
credit,GAT+FAME,GIN,Statistical Parity Difference,-0.0087,0.0245,-0.0169,-0.0030,49
credit,GAT+FAME,GIN,Equal Opportunity Difference,-0.0080,0.0251,-0.0169,-0.0028,49
credit,GAT+FAME,GIN,Overall Accuracy Equality Difference,0.0021,0.0094,-0.0007,0.0045,49
credit,GAT+FAME,GIN,Treatment Equality Difference,-0.0439,0.1603,-0.0957,-0.0129,49
credit,GAT+FAME,GIN+PFR,Accuracy,0.0077,0.0180,0.0010,0.0195,10
credit,GAT+FAME,GIN+PFR,Statistical Parity Difference,-0.0052,0.0094,-0.0114,-0.0012,10
credit,GAT+FAME,GIN+PFR,Equal Opportunity Difference,-0.0032,0.0037,-0.0056,-0.0013,10
credit,GAT+FAME,GIN+PFR,Overall Accuracy Equality Difference,0.0019,0.0023,0.0007,0.0035,10
credit,GAT+FAME,GIN+PFR,Treatment Equality Difference,-0.0321,0.0694,-0.0775,-0.0049,10
credit,GAT+FAME+PFR,GAT+PFR,Accuracy,-0.1619,0.1917,-0.2820,-0.0548,11
credit,GAT+FAME+PFR,GAT+PFR,Statistical Parity Difference,0.0410,0.0538,0.0122,0.0728,11
credit,GAT+FAME+PFR,GAT+PFR,Equal Opportunity Difference,0.0476,0.0598,0.0154,0.0818,11
credit,GAT+FAME+PFR,GAT+PFR,Overall Accuracy Equality Difference,-0.0200,0.0316,-0.0371,-0.0021,11
credit,GAT+FAME+PFR,GAT+PFR,Treatment Equality Difference,15.7653,49.7002,0.3317,45.9927,11
credit,GAT+FAME+PFR,GCN,Accuracy,-0.0036,0.0324,-0.0230,0.0158,10
credit,GAT+FAME+PFR,GCN,Statistical Parity Difference,0.0026,0.0198,-0.0093,0.0142,10
credit,GAT+FAME+PFR,GCN,Equal Opportunity Difference,0.0020,0.0191,-0.0086,0.0128,10
credit,GAT+FAME+PFR,GCN,Overall Accuracy Equality Difference,-0.0043,0.0157,-0.0137,0.0047,10
credit,GAT+FAME+PFR,GCN,Treatment Equality Difference,0.0093,0.1278,-0.0626,0.0856,10
credit,GAT+FAME+PFR,GCN+FAME,Accuracy,0.0078,0.0182,0.0003,0.0201,10
credit,GAT+FAME+PFR,GCN+FAME,Statistical Parity Difference,0.0038,0.0138,-0.0046,0.0118,10
credit,GAT+FAME+PFR,GCN+FAME,Equal Opportunity Difference,0.0080,0.0155,-0.0004,0.0180,10
credit,GAT+FAME+PFR,GCN+FAME,Overall Accuracy Equality Difference,0.0130,0.0161,0.0044,0.0235,10
credit,GAT+FAME+PFR,GCN+FAME,Treatment Equality Difference,-0.0069,0.0743,-0.0546,0.0280,10
credit,GAT+FAME+PFR,GCN+FAME+PFR,Accuracy,0.0075,0.0176,0.0004,0.0189,11
credit,GAT+FAME+PFR,GCN+FAME+PFR,Statistical Parity Difference,-0.0015,0.0148,-0.0110,0.0054,11
credit,GAT+FAME+PFR,GCN+FAME+PFR,Equal Opportunity Difference,0.0002,0.0139,-0.0083,0.0074,11
credit,GAT+FAME+PFR,GCN+FAME+PFR,Overall Accuracy Equality Difference,0.0072,0.0114,0.0016,0.0138,11
credit,GAT+FAME+PFR,GCN+FAME+PFR,Treatment Equality Difference,-0.0214,0.0780,-0.0704,0.0100,11
credit,GAT+FAME+PFR,GCN+PFR,Accuracy,-0.0033,0.0306,-0.0214,0.0138,11
credit,GAT+FAME+PFR,GCN+PFR,Statistical Parity Difference,0.0026,0.0188,-0.0081,0.0130,11
credit,GAT+FAME+PFR,GCN+PFR,Equal Opportunity Difference,0.0025,0.0182,-0.0082,0.0130,11
credit,GAT+FAME+PFR,GCN+PFR,Overall Accuracy Equality Difference,-0.0033,0.0149,-0.0124,0.0043,11
credit,GAT+FAME+PFR,GCN+PFR,Treatment Equality Difference,0.0077,0.1208,-0.0578,0.0762,11
credit,GAT+FAME+PFR,GIN,Accuracy,0.0085,0.0185,0.0005,0.0215,10
credit,GAT+FAME+PFR,GIN,Statistical Parity Difference,-0.0077,0.0144,-0.0169,-0.0005,10
credit,GAT+FAME+PFR,GIN,Equal Opportunity Difference,-0.0067,0.0117,-0.0144,-0.0010,10
credit,GAT+FAME+PFR,GIN,Overall Accuracy Equality Difference,0.0041,0.0080,0.0003,0.0095,10
credit,GAT+FAME+PFR,GIN,Treatment Equality Difference,-0.0387,0.0810,-0.0924,-0.0001,10
credit,GAT+FAME+PFR,GIN+PFR,Accuracy,0.0079,0.0177,0.0007,0.0191,11
credit,GAT+FAME+PFR,GIN+PFR,Statistical Parity Difference,-0.0072,0.0137,-0.0159,-0.0006,11
credit,GAT+FAME+PFR,GIN+PFR,Equal Opportunity Difference,-0.0064,0.0112,-0.0130,-0.0012,11
credit,GAT+FAME+PFR,GIN+PFR,Overall Accuracy Equality Difference,0.0039,0.0077,0.0003,0.0087,11
credit,GAT+FAME+PFR,GIN+PFR,Treatment Equality Difference,-0.0363,0.0772,-0.0875,-0.0033,11
credit,GAT+PFR,GCN,Accuracy,0.1745,0.2080,0.0630,0.2919,10
credit,GAT+PFR,GCN,Statistical Parity Difference,-0.0425,0.0595,-0.0811,-0.0106,10
credit,GAT+PFR,GCN,Equal Opportunity Difference,-0.0503,0.0654,-0.0925,-0.0152,10
credit,GAT+PFR,GCN,Overall Accuracy Equality Difference,0.0177,0.0282,0.0025,0.0349,10
credit,GAT+PFR,GCN,Treatment Equality Difference,-17.3325,52.1853,-50.5290,-0.3223,10
credit,GAT+PFR,GCN+FAME,Accuracy,0.1859,0.2060,0.0736,0.3076,10
credit,GAT+PFR,GCN+FAME,Statistical Parity Difference,-0.0413,0.0471,-0.0700,-0.0140,10
credit,GAT+PFR,GCN+FAME,Equal Opportunity Difference,-0.0444,0.0528,-0.0774,-0.0156,10
credit,GAT+PFR,GCN+FAME,Overall Accuracy Equality Difference,0.0351,0.0332,0.0164,0.0545,10
credit,GAT+PFR,GCN+FAME,Treatment Equality Difference,-17.3488,52.1675,-50.5456,-0.3455,10
credit,GAT+PFR,GCN+FAME+PFR,Accuracy,0.1695,0.2034,0.0569,0.2889,11
credit,GAT+PFR,GCN+FAME+PFR,Statistical Parity Difference,-0.0425,0.0506,-0.0713,-0.0149,11
credit,GAT+PFR,GCN+FAME+PFR,Equal Opportunity Difference,-0.0474,0.0560,-0.0783,-0.0161,11
credit,GAT+PFR,GCN+FAME+PFR,Overall Accuracy Equality Difference,0.0272,0.0331,0.0089,0.0456,11
credit,GAT+PFR,GCN+FAME+PFR,Treatment Equality Difference,-15.7867,49.7756,-45.9039,-0.3118,11
credit,GAT+PFR,GCN+PFR,Accuracy,0.1586,0.2044,0.0519,0.2733,11
credit,GAT+PFR,GCN+PFR,Statistical Parity Difference,-0.0383,0.0585,-0.0713,-0.0073,11
credit,GAT+PFR,GCN+PFR,Equal Opportunity Difference,-0.0452,0.0647,-0.0839,-0.0101,11
credit,GAT+PFR,GCN+PFR,Overall Accuracy Equality Difference,0.0167,0.0272,0.0016,0.0320,11
credit,GAT+PFR,GCN+PFR,Treatment Equality Difference,-15.7576,49.7821,-46.0284,-0.2918,11
credit,GAT+PFR,GIN,Accuracy,0.1791,0.2121,0.0630,0.3119,10
credit,GAT+PFR,GIN,Statistical Parity Difference,-0.0507,0.0578,-0.0880,-0.0198,10
credit,GAT+PFR,GIN,Equal Opportunity Difference,-0.0571,0.0645,-0.0958,-0.0221,10
credit,GAT+PFR,GIN,Overall Accuracy Equality Difference,0.0232,0.0320,0.0048,0.0420,10
credit,GAT+PFR,GIN,Treatment Equality Difference,-17.3580,52.1807,-50.5297,-0.3224,10
credit,GAT+PFR,GIN+PFR,Accuracy,0.1698,0.2036,0.0609,0.2880,11
credit,GAT+PFR,GIN+PFR,Statistical Parity Difference,-0.0482,0.0554,-0.0827,-0.0201,11
credit,GAT+PFR,GIN+PFR,Equal Opportunity Difference,-0.0540,0.0621,-0.0907,-0.0205,11
credit,GAT+PFR,GIN+PFR,Overall Accuracy Equality Difference,0.0239,0.0304,0.0073,0.0413,11
credit,GAT+PFR,GIN+PFR,Treatment Equality Difference,-15.8016,49.7714,-46.0237,-0.3337,11
credit,GCN,GCN+FAME,Accuracy,0.0246,0.0577,0.0101,0.0422,50
credit,GCN,GCN+FAME,Statistical Parity Difference,-0.0136,0.0594,-0.0315,0.0010,50
credit,GCN,GCN+FAME,Equal Opportunity Difference,-0.0086,0.0524,-0.0241,0.0049,50
credit,GCN,GCN+FAME,Overall Accuracy Equality Difference,0.0193,0.0243,0.0134,0.0262,50
credit,GCN,GCN+FAME,Treatment Equality Difference,-0.2224,0.8896,-0.4930,-0.0397,50
credit,GCN,GCN+FAME+PFR,Accuracy,0.0119,0.0220,0.0018,0.0260,10
credit,GCN,GCN+FAME+PFR,Statistical Parity Difference,-0.0058,0.0162,-0.0155,0.0039,10
credit,GCN,GCN+FAME+PFR,Equal Opportunity Difference,-0.0034,0.0184,-0.0143,0.0075,10
credit,GCN,GCN+FAME+PFR,Overall Accuracy Equality Difference,0.0115,0.0132,0.0041,0.0194,10
credit,GCN,GCN+FAME+PFR,Treatment Equality Difference,-0.0365,0.0861,-0.0925,0.0088,10
credit,GCN,GCN+PFR,Accuracy,0.0002,0.0009,-0.0002,0.0008,10
credit,GCN,GCN+PFR,Statistical Parity Difference,-0.0002,0.0010,-0.0009,0.0003,10
credit,GCN,GCN+PFR,Equal Opportunity Difference,-0.0002,0.0013,-0.0011,0.0003,10
credit,GCN,GCN+PFR,Overall Accuracy Equality Difference,0.0002,0.0010,-0.0003,0.0008,10
credit,GCN,GCN+PFR,Treatment Equality Difference,-0.0009,0.0047,-0.0040,0.0011,10
credit,GCN,GIN,Accuracy,0.0259,0.0584,0.0111,0.0426,49
credit,GCN,GIN,Statistical Parity Difference,-0.0259,0.0604,-0.0455,-0.0113,49
credit,GCN,GIN,Equal Opportunity Difference,-0.0239,0.0528,-0.0395,-0.0109,49
credit,GCN,GIN,Overall Accuracy Equality Difference,0.0113,0.0194,0.0066,0.0171,49
credit,GCN,GIN,Treatment Equality Difference,-0.2606,0.9098,-0.5654,-0.0755,49
credit,GCN,GIN+PFR,Accuracy,0.0123,0.0219,0.0019,0.0264,10
credit,GCN,GIN+PFR,Statistical Parity Difference,-0.0106,0.0110,-0.0177,-0.0049,10
credit,GCN,GIN+PFR,Equal Opportunity Difference,-0.0090,0.0118,-0.0166,-0.0029,10
credit,GCN,GIN+PFR,Overall Accuracy Equality Difference,0.0086,0.0113,0.0029,0.0158,10
credit,GCN,GIN+PFR,Treatment Equality Difference,-0.0492,0.0783,-0.1023,-0.0120,10
credit,GCN+FAME,GCN+FAME+PFR,Accuracy,0.0006,0.0007,0.0002,0.0010,10
credit,GCN+FAME,GCN+FAME+PFR,Statistical Parity Difference,-0.0069,0.0089,-0.0124,-0.0020,10
credit,GCN+FAME,GCN+FAME+PFR,Equal Opportunity Difference,-0.0094,0.0115,-0.0166,-0.0029,10
credit,GCN+FAME,GCN+FAME+PFR,Overall Accuracy Equality Difference,-0.0059,0.0070,-0.0103,-0.0020,10
credit,GCN+FAME,GCN+FAME+PFR,Treatment Equality Difference,-0.0202,0.0251,-0.0362,-0.0066,10
credit,GCN+FAME,GCN+PFR,Accuracy,-0.0112,0.0220,-0.0262,-0.0009,10
credit,GCN+FAME,GCN+PFR,Statistical Parity Difference,-0.0013,0.0217,-0.0138,0.0116,10
credit,GCN+FAME,GCN+PFR,Equal Opportunity Difference,-0.0062,0.0250,-0.0206,0.0085,10
credit,GCN+FAME,GCN+PFR,Overall Accuracy Equality Difference,-0.0172,0.0140,-0.0253,-0.0093,10
credit,GCN+FAME,GCN+PFR,Treatment Equality Difference,0.0154,0.0969,-0.0334,0.0825,10
credit,GCN+FAME,GIN,Accuracy,0.0009,0.0011,0.0006,0.0012,49
credit,GCN+FAME,GIN,Statistical Parity Difference,-0.0121,0.0152,-0.0165,-0.0079,49
credit,GCN+FAME,GIN,Equal Opportunity Difference,-0.0151,0.0200,-0.0207,-0.0096,49
credit,GCN+FAME,GIN,Overall Accuracy Equality Difference,-0.0084,0.0126,-0.0119,-0.0053,49
credit,GCN+FAME,GIN,Treatment Equality Difference,-0.0336,0.0437,-0.0466,-0.0219,49
credit,GCN+FAME,GIN+PFR,Accuracy,0.0009,0.0011,0.0003,0.0016,10
credit,GCN+FAME,GIN+PFR,Statistical Parity Difference,-0.0117,0.0138,-0.0206,-0.0041,10
credit,GCN+FAME,GIN+PFR,Equal Opportunity Difference,-0.0150,0.0180,-0.0259,-0.0047,10
credit,GCN+FAME,GIN+PFR,Overall Accuracy Equality Difference,-0.0087,0.0110,-0.0151,-0.0028,10
credit,GCN+FAME,GIN+PFR,Treatment Equality Difference,-0.0330,0.0391,-0.0567,-0.0118,10
credit,GCN+FAME+PFR,GCN+PFR,Accuracy,-0.0109,0.0210,-0.0240,-0.0017,11
credit,GCN+FAME+PFR,GCN+PFR,Statistical Parity Difference,0.0042,0.0164,-0.0050,0.0133,11
credit,GCN+FAME+PFR,GCN+PFR,Equal Opportunity Difference,0.0023,0.0179,-0.0081,0.0123,11
credit,GCN+FAME+PFR,GCN+PFR,Overall Accuracy Equality Difference,-0.0105,0.0125,-0.0180,-0.0039,11
credit,GCN+FAME+PFR,GCN+PFR,Treatment Equality Difference,0.0291,0.0845,-0.0123,0.0833,11
credit,GCN+FAME+PFR,GIN,Accuracy,0.0004,0.0007,0.0001,0.0008,10
credit,GCN+FAME+PFR,GIN,Statistical Parity Difference,-0.0062,0.0097,-0.0119,-0.0017,10
credit,GCN+FAME+PFR,GIN,Equal Opportunity Difference,-0.0072,0.0123,-0.0154,-0.0006,10
credit,GCN+FAME+PFR,GIN,Overall Accuracy Equality Difference,-0.0036,0.0072,-0.0081,-0.0005,10
credit,GCN+FAME+PFR,GIN,Treatment Equality Difference,-0.0162,0.0266,-0.0330,-0.0043,10
credit,GCN+FAME+PFR,GIN+PFR,Accuracy,0.0004,0.0006,0.0001,0.0008,11
credit,GCN+FAME+PFR,GIN+PFR,Statistical Parity Difference,-0.0057,0.0094,-0.0111,-0.0009,11
credit,GCN+FAME+PFR,GIN+PFR,Equal Opportunity Difference,-0.0066,0.0118,-0.0140,-0.0005,11
credit,GCN+FAME+PFR,GIN+PFR,Overall Accuracy Equality Difference,-0.0033,0.0069,-0.0073,0.0000,11
credit,GCN+FAME+PFR,GIN+PFR,Treatment Equality Difference,-0.0149,0.0256,-0.0304,-0.0024,11
credit,GCN+PFR,GIN,Accuracy,0.0124,0.0216,0.0027,0.0272,10
credit,GCN+PFR,GIN,Statistical Parity Difference,-0.0109,0.0108,-0.0177,-0.0053,10
credit,GCN+PFR,GIN,Equal Opportunity Difference,-0.0097,0.0114,-0.0173,-0.0041,10
credit,GCN+PFR,GIN,Overall Accuracy Equality Difference,0.0079,0.0116,0.0020,0.0155,10
credit,GCN+PFR,GIN,Treatment Equality Difference,-0.0484,0.0779,-0.0996,-0.0104,10
credit,GCN+PFR,GIN+PFR,Accuracy,0.0112,0.0209,0.0021,0.0247,11
credit,GCN+PFR,GIN+PFR,Statistical Parity Difference,-0.0099,0.0108,-0.0168,-0.0046,11
credit,GCN+PFR,GIN+PFR,Equal Opportunity Difference,-0.0088,0.0112,-0.0162,-0.0036,11
credit,GCN+PFR,GIN+PFR,Overall Accuracy Equality Difference,0.0072,0.0113,0.0016,0.0144,11
credit,GCN+PFR,GIN+PFR,Treatment Equality Difference,-0.0440,0.0753,-0.0945,-0.0101,11
credit,GIN,GIN+PFR,Accuracy,0.0000,0.0000,0.0000,0.0000,10
credit,GIN,GIN+PFR,Statistical Parity Difference,0.0000,0.0000,0.0000,0.0000,10
credit,GIN,GIN+PFR,Equal Opportunity Difference,0.0000,0.0000,0.0000,0.0000,10
credit,GIN,GIN+PFR,Overall Accuracy Equality Difference,0.0000,0.0000,0.0000,0.0000,10
credit,GIN,GIN+PFR,Treatment Equality Difference,0.0000,0.0000,0.0000,0.0000,10
german,GAT,GAT+FAME,Accuracy,0.1251,0.2612,0.0507,0.1956,50
german,GAT,GAT+FAME,Statistical Parity Difference,0.0305,0.0602,0.0159,0.0498,50
german,GAT,GAT+FAME,Equal Opportunity Difference,0.0391,0.0713,0.0215,0.0584,50
german,GAT,GAT+FAME,Overall Accuracy Equality Difference,0.0169,0.0410,0.0061,0.0288,50
german,GAT,GAT+FAME,Treatment Equality Difference,0.8447,2.7695,0.2024,1.7043,50
german,GAT,GAT+FAME+PFR,Accuracy,0.2347,0.2841,0.0703,0.3990,10
german,GAT,GAT+FAME+PFR,Statistical Parity Difference,0.0288,0.0578,0.0012,0.0646,10
german,GAT,GAT+FAME+PFR,Equal Opportunity Difference,0.0213,0.0448,0.0000,0.0506,10
german,GAT,GAT+FAME+PFR,Overall Accuracy Equality Difference,0.0010,0.0111,-0.0051,0.0074,10
german,GAT,GAT+FAME+PFR,Treatment Equality Difference,0.3914,1.0673,0.0000,1.0758,10
german,GAT,GAT+PFR,Accuracy,0.0000,0.0000,0.0000,0.0000,10
german,GAT,GAT+PFR,Statistical Parity Difference,0.0000,0.0000,0.0000,0.0000,10
german,GAT,GAT+PFR,Equal Opportunity Difference,0.0000,0.0000,0.0000,0.0000,10
german,GAT,GAT+PFR,Overall Accuracy Equality Difference,0.0000,0.0000,0.0000,0.0000,10
german,GAT,GAT+PFR,Treatment Equality Difference,0.0000,0.0000,0.0000,0.0000,10
german,GAT,GCN,Accuracy,0.0832,0.2800,0.0036,0.1604,50
german,GAT,GCN,Statistical Parity Difference,0.0018,0.0113,0.0000,0.0052,50
german,GAT,GCN,Equal Opportunity Difference,0.0005,0.0026,0.0000,0.0014,50
german,GAT,GCN,Overall Accuracy Equality Difference,0.0012,0.0070,0.0000,0.0034,50
german,GAT,GCN,Treatment Equality Difference,0.0448,0.3165,0.0000,0.1343,50
german,GAT,GCN+FAME,Accuracy,0.2050,0.2243,0.1426,0.2673,50
german,GAT,GCN+FAME,Statistical Parity Difference,0.0000,0.0000,0.0000,0.0000,50
german,GAT,GCN+FAME,Equal Opportunity Difference,0.0000,0.0000,0.0000,0.0000,50
german,GAT,GCN+FAME,Overall Accuracy Equality Difference,0.0000,0.0000,0.0000,0.0000,50
german,GAT,GCN+FAME,Treatment Equality Difference,0.0000,0.0000,0.0000,0.0000,50
german,GAT,GCN+FAME+PFR,Accuracy,0.3089,0.2132,0.1762,0.4386,10
german,GAT,GCN+FAME+PFR,Statistical Parity Difference,0.0037,0.0060,0.0000,0.0074,10
german,GAT,GCN+FAME+PFR,Equal Opportunity Difference,0.0052,0.0083,0.0000,0.0103,10
german,GAT,GCN+FAME+PFR,Overall Accuracy Equality Difference,0.0037,0.0060,0.0000,0.0074,10
german,GAT,GCN+FAME+PFR,Treatment Equality Difference,0.0130,0.0210,0.0000,0.0261,10
german,GAT,GCN+PFR,Accuracy,0.2347,0.2251,0.1010,0.3683,10
german,GAT,GCN+PFR,Statistical Parity Difference,0.0015,0.0049,0.0000,0.0046,10
german,GAT,GCN+PFR,Equal Opportunity Difference,0.0059,0.0185,0.0000,0.0176,10
german,GAT,GCN+PFR,Overall Accuracy Equality Difference,0.0086,0.0271,0.0000,0.0257,10
german,GAT,GCN+PFR,Treatment Equality Difference,0.4750,1.5021,0.0000,1.4250,10
german,GAT,GIN,Accuracy,0.1968,0.2255,0.1352,0.2576,49
german,GAT,GIN,Statistical Parity Difference,0.0319,0.0732,0.0131,0.0548,49
german,GAT,GIN,Equal Opportunity Difference,0.0319,0.0702,0.0146,0.0532,49
german,GAT,GIN,Overall Accuracy Equality Difference,0.0046,0.0154,0.0007,0.0091,49
german,GAT,GIN,Treatment Equality Difference,0.1944,0.5392,0.0697,0.3694,49
german,GAT,GIN+PFR,Accuracy,0.3109,0.2146,0.1772,0.4436,10
german,GAT,GIN+PFR,Statistical Parity Difference,0.0050,0.0158,0.0000,0.0150,10
german,GAT,GIN+PFR,Equal Opportunity Difference,0.0067,0.0211,0.0000,0.0200,10
german,GAT,GIN+PFR,Overall Accuracy Equality Difference,-0.0018,0.0057,-0.0054,0.0000,10
german,GAT,GIN+PFR,Treatment Equality Difference,0.0200,0.0632,0.0000,0.0600,10
german,GAT+FAME,GAT+FAME+PFR,Accuracy,-0.0149,0.1060,-0.0871,0.0297,10
german,GAT+FAME,GAT+FAME+PFR,Statistical Parity Difference,0.0073,0.0734,-0.0349,0.0491,10
german,GAT+FAME,GAT+FAME+PFR,Equal Opportunity Difference,-0.0099,0.0843,-0.0639,0.0337,10
german,GAT+FAME,GAT+FAME+PFR,Overall Accuracy Equality Difference,-0.0183,0.0450,-0.0460,0.0062,10
german,GAT+FAME,GAT+FAME+PFR,Treatment Equality Difference,0.2827,1.1191,-0.1684,1.0377,10
german,GAT+FAME,GAT+PFR,Accuracy,-0.2495,0.2165,-0.3762,-0.1237,10
german,GAT+FAME,GAT+PFR,Statistical Parity Difference,-0.0215,0.0471,-0.0531,-0.0013,10
german,GAT+FAME,GAT+PFR,Equal Opportunity Difference,-0.0311,0.0669,-0.0759,-0.0034,10
german,GAT+FAME,GAT+PFR,Overall Accuracy Equality Difference,-0.0193,0.0418,-0.0475,0.0014,10
german,GAT+FAME,GAT+PFR,Treatment Equality Difference,-0.1088,0.2117,-0.2502,-0.0130,10
german,GAT+FAME,GCN,Accuracy,-0.0420,0.2464,-0.1085,0.0273,50
german,GAT+FAME,GCN,Statistical Parity Difference,-0.0286,0.0576,-0.0459,-0.0150,50
german,GAT+FAME,GCN,Equal Opportunity Difference,-0.0386,0.0704,-0.0595,-0.0207,50
german,GAT+FAME,GCN,Overall Accuracy Equality Difference,-0.0157,0.0390,-0.0269,-0.0058,50
german,GAT+FAME,GCN,Treatment Equality Difference,-0.8000,2.7905,-1.6102,-0.1453,50
german,GAT+FAME,GCN+FAME,Accuracy,0.0798,0.1488,0.0428,0.1216,50
german,GAT+FAME,GCN+FAME,Statistical Parity Difference,-0.0305,0.0602,-0.0484,-0.0165,50
german,GAT+FAME,GCN+FAME,Equal Opportunity Difference,-0.0391,0.0713,-0.0609,-0.0217,50
german,GAT+FAME,GCN+FAME,Overall Accuracy Equality Difference,-0.0169,0.0410,-0.0284,-0.0062,50
german,GAT+FAME,GCN+FAME,Treatment Equality Difference,-0.8447,2.7695,-1.7564,-0.1767,50
german,GAT+FAME,GCN+FAME+PFR,Accuracy,0.0594,0.1354,0.0059,0.1465,10
german,GAT+FAME,GCN+FAME+PFR,Statistical Parity Difference,-0.0178,0.0482,-0.0492,0.0022,10
german,GAT+FAME,GCN+FAME+PFR,Equal Opportunity Difference,-0.0260,0.0692,-0.0707,0.0034,10
german,GAT+FAME,GCN+FAME+PFR,Overall Accuracy Equality Difference,-0.0156,0.0445,-0.0443,0.0064,10
german,GAT+FAME,GCN+FAME+PFR,Treatment Equality Difference,-0.0957,0.2145,-0.2426,0.0000,10
german,GAT+FAME,GCN+PFR,Accuracy,-0.0149,0.2254,-0.1367,0.1168,10
german,GAT+FAME,GCN+PFR,Statistical Parity Difference,-0.0200,0.0424,-0.0471,-0.0025,10
german,GAT+FAME,GCN+PFR,Equal Opportunity Difference,-0.0253,0.0492,-0.0576,-0.0028,10
german,GAT+FAME,GCN+PFR,Overall Accuracy Equality Difference,-0.0107,0.0283,-0.0286,0.0015,10
german,GAT+FAME,GCN+PFR,Treatment Equality Difference,0.3662,1.3097,-0.0881,1.2085,10
german,GAT+FAME,GIN,Accuracy,0.0691,0.1442,0.0315,0.1123,49
german,GAT+FAME,GIN,Statistical Parity Difference,0.0008,0.0883,-0.0255,0.0247,49
german,GAT+FAME,GIN,Equal Opportunity Difference,-0.0079,0.0902,-0.0336,0.0172,49
german,GAT+FAME,GIN,Overall Accuracy Equality Difference,-0.0127,0.0423,-0.0251,-0.0019,49
