dataset,model_a,model_b,metric,diff_mean,diff_std,diff_ci_low,diff_ci_high,n_seeds
bail,GAT+FAME,GAT+PFR,Treatment Equality Difference,-0.9486,0.9750,-1.5491,-0.4064,10
bail,GAT+FAME,GCN,Accuracy,-0.1718,0.1203,-0.2036,-0.1376,50
bail,GAT+FAME,GCN,Statistical Parity Difference,-0.0324,0.0292,-0.0405,-0.0239,50
bail,GAT+FAME,GCN,Equal Opportunity Difference,-0.0086,0.0210,-0.0140,-0.0028,50
bail,GAT+FAME,GCN,Overall Accuracy Equality Difference,0.0331,0.0244,0.0263,0.0395,50
bail,GAT+FAME,GCN,Treatment Equality Difference,23.6188,58.1902,9.7651,40.7447,50
bail,GAT+FAME,GCN+FAME,Accuracy,-0.2169,0.1052,-0.2442,-0.1864,50
bail,GAT+FAME,GCN+FAME,Statistical Parity Difference,-0.0456,0.0226,-0.0515,-0.0391,50
bail,GAT+FAME,GCN+FAME,Equal Opportunity Difference,-0.0165,0.0170,-0.0212,-0.0120,50
bail,GAT+FAME,GCN+FAME,Overall Accuracy Equality Difference,0.0442,0.0195,0.0382,0.0493,50
bail,GAT+FAME,GCN+FAME,Treatment Equality Difference,108.8391,80.5654,86.6677,132.6156,50
bail,GAT+FAME,GCN+FAME+PFR,Accuracy,-0.2823,0.1693,-0.3780,-0.1822,10
bail,GAT+FAME,GCN+FAME+PFR,Statistical Parity Difference,-0.0325,0.0351,-0.0518,-0.0103,10
bail,GAT+FAME,GCN+FAME+PFR,Equal Opportunity Difference,0.0064,0.0328,-0.0102,0.0279,10
bail,GAT+FAME,GCN+FAME+PFR,Overall Accuracy Equality Difference,0.0371,0.0274,0.0213,0.0526,10
bail,GAT+FAME,GCN+FAME+PFR,Treatment Equality Difference,9.2876,22.9987,-0.2164,24.1062,10
bail,GAT+FAME,GCN+PFR,Accuracy,-0.1894,0.1280,-0.2565,-0.1102,10
bail,GAT+FAME,GCN+PFR,Statistical Parity Difference,-0.0363,0.0301,-0.0525,-0.0176,10
bail,GAT+FAME,GCN+PFR,Equal Opportunity Difference,-0.0011,0.0138,-0.0089,0.0069,10
bail,GAT+FAME,GCN+PFR,Overall Accuracy Equality Difference,0.0294,0.0291,0.0123,0.0465,10
bail,GAT+FAME,GCN+PFR,Treatment Equality Difference,36.5244,59.4975,10.3506,77.5133,10
bail,GAT+FAME,GIN,Accuracy,-0.0010,0.1684,-0.0457,0.0450,50
bail,GAT+FAME,GIN,Statistical Parity Difference,0.0033,0.0258,-0.0035,0.0100,50
bail,GAT+FAME,GIN,Equal Opportunity Difference,0.0067,0.0195,0.0014,0.0124,50
bail,GAT+FAME,GIN,Overall Accuracy Equality Difference,0.0018,0.0222,-0.0044,0.0075,50
bail,GAT+FAME,GIN,Treatment Equality Difference,-3.1209,6.3898,-4.9069,-1.6258,50
bail,GAT+FAME,GIN+PFR,Accuracy,-0.0833,0.2442,-0.2298,0.0572,10
bail,GAT+FAME,GIN+PFR,Statistical Parity Difference,0.0036,0.0389,-0.0192,0.0275,10
bail,GAT+FAME,GIN+PFR,Equal Opportunity Difference,0.0076,0.0191,-0.0037,0.0194,10
bail,GAT+FAME,GIN+PFR,Overall Accuracy Equality Difference,-0.0022,0.0312,-0.0205,0.0158,10
bail,GAT+FAME,GIN+PFR,Treatment Equality Difference,-0.9184,0.9915,-1.5399,-0.3763,10
bail,GAT+FAME+PFR,GAT+PFR,Accuracy,-0.3370,0.1408,-0.4200,-0.2627,11
