dataset,model,metric,mean,std,ci_low,ci_high,ci_width,cv
bail,GCN+PFR,Overall Accuracy Equality Difference,0.0505,0.0212,0.0378,0.0611,0.0232,0.4208
bail,GCN+PFR,Treatment Equality Difference,34.1426,57.2497,9.6739,71.7177,62.0438,1.6768
bail,GIN,Accuracy,0.8460,0.1103,0.8153,0.8738,0.0584,0.1304
bail,GIN,Statistical Parity Difference,0.0564,0.0153,0.0522,0.0603,0.0081,0.2718
bail,GIN,Equal Opportunity Difference,0.0295,0.0134,0.0258,0.0332,0.0074,0.4552
bail,GIN,Overall Accuracy Equality Difference,0.0211,0.0117,0.0180,0.0244,0.0064,0.5535
bail,GIN,Treatment Equality Difference,0.1391,0.2780,0.0722,0.2223,0.1501,1.9986
bail,GIN+PFR,Accuracy,0.7420,0.1723,0.6437,0.8313,0.1877,0.2322
bail,GIN+PFR,Statistical Parity Difference,0.0491,0.0224,0.0350,0.0605,0.0255,0.4560
bail,GIN+PFR,Equal Opportunity Difference,0.0190,0.0126,0.0121,0.0259,0.0138,0.6599
bail,GIN+PFR,Overall Accuracy Equality Difference,0.0237,0.0190,0.0140,0.0351,0.0211,0.8043
bail,GIN+PFR,Treatment Equality Difference,0.0275,0.0262,0.0127,0.0428,0.0301,0.9503
credit,GAT,Accuracy,0.6155,0.2308,0.5506,0.6791,0.1285,0.3750
credit,GAT,Statistical Parity Difference,0.0206,0.0391,0.0107,0.0321,0.0214,1.8952
credit,GAT,Equal Opportunity Difference,0.0234,0.0449,0.0119,0.0371,0.0252,1.9150
credit,GAT,Overall Accuracy Equality Difference,0.0892,0.0234,0.0826,0.0952,0.0126,0.2619
credit,GAT,Treatment Equality Difference,1.3287,3.6350,0.4817,2.4684,1.9867,2.7357
credit,GAT+FAME,Accuracy,0.7687,0.0328,0.7587,0.7764,0.0177,0.0427
credit,GAT+FAME,Statistical Parity Difference,0.0085,0.0243,0.0030,0.0161,0.0131,2.8406
credit,GAT+FAME,Equal Opportunity Difference,0.0078,0.0249,0.0028,0.0155,0.0127,3.1729
credit,GAT+FAME,Overall Accuracy Equality Difference,0.0995,0.0093,0.0969,0.1022,0.0053,0.0936
credit,GAT+FAME,Treatment Equality Difference,0.0431,0.1587,0.0120,0.0931,0.0812,3.6841
credit,GAT+FAME+PFR,Accuracy,0.7708,0.0177,0.7599,0.7780,0.0181,0.0229
