dataset,model,metric,mean,std,ci_low,ci_high,n
credit,GCN,Overall Accuracy Equality Difference,0.0905,0.0193,0.0845,0.0954,50
credit,GCN,Treatment Equality Difference,0.2554,0.9012,0.0697,0.5446,50
credit,GCN,Accuracy,0.7533,0.0579,0.7361,0.7676,50
credit,GCN+FAME,Statistical Parity Difference,0.0119,0.0151,0.0078,0.0162,50
credit,GCN+FAME,Equal Opportunity Difference,0.0148,0.0199,0.0095,0.0206,50
credit,GCN+FAME,Overall Accuracy Equality Difference,0.1098,0.0125,0.1065,0.1133,50
credit,GCN+FAME,Treatment Equality Difference,0.0330,0.0434,0.0219,0.0451,50
credit,GCN+FAME,Accuracy,0.7779,0.0011,0.7776,0.7782,50
credit,GCN+FAME+PFR,Statistical Parity Difference,0.0057,0.0094,0.0008,0.0119,11
credit,GCN+FAME+PFR,Equal Opportunity Difference,0.0066,0.0118,0.0017,0.0145,11
credit,GCN+FAME+PFR,Overall Accuracy Equality Difference,0.1049,0.0069,0.1015,0.1089,11
credit,GCN+FAME+PFR,Treatment Equality Difference,0.0149,0.0256,0.0019,0.0298,11
credit,GCN+FAME+PFR,Accuracy,0.7784,0.0006,0.7780,0.7787,11
credit,GCN+PFR,Statistical Parity Difference,0.0099,0.0108,0.0046,0.0170,11
credit,GCN+PFR,Equal Opportunity Difference,0.0088,0.0112,0.0035,0.0159,11
credit,GCN+PFR,Overall Accuracy Equality Difference,0.0944,0.0113,0.0869,0.0998,11
credit,GCN+PFR,Treatment Equality Difference,0.0440,0.0753,0.0089,0.0895,11
credit,GCN+PFR,Accuracy,0.7675,0.0209,0.7532,0.7766,11
credit,GIN,Statistical Parity Difference,0.0000,0.0001,0.0000,0.0000,50
credit,GIN,Equal Opportunity Difference,0.0000,0.0001,0.0000,0.0000,50
credit,GIN,Overall Accuracy Equality Difference,0.1016,0.0000,0.1016,0.1016,50
credit,GIN,Treatment Equality Difference,0.0000,0.0002,0.0000,0.0001,50
credit,GIN,Accuracy,0.7787,0.0000,0.7787,0.7787,50
credit,GIN+PFR,Statistical Parity Difference,0.0000,0.0000,0.0000,0.0000,11
credit,GIN+PFR,Equal Opportunity Difference,0.0000,0.0000,0.0000,0.0000,11
credit,GIN+PFR,Overall Accuracy Equality Difference,0.1016,0.0000,0.1016,0.1016,11
credit,GIN+PFR,Treatment Equality Difference,0.0000,0.0000,0.0000,0.0000,11
credit,GIN+PFR,Accuracy,0.7787,0.0000,0.7787,0.7787,11
german,GAT,Statistical Parity Difference,0.0000,0.0000,0.0000,0.0000,50
german,GAT,Equal Opportunity Difference,0.0000,0.0000,0.0000,0.0000,50
german,GAT,Overall Accuracy Equality Difference,0.0340,0.0000,0.0340,0.0340,50
german,GAT,Treatment Equality Difference,0.0000,0.0000,0.0000,0.0000,50
german,GAT,Accuracy,0.5178,0.2243,0.4554,0.5802,50
german,GAT+FAME,Statistical Parity Difference,0.0305,0.0602,0.0162,0.0487,50
german,GAT+FAME,Equal Opportunity Difference,0.0391,0.0713,0.0214,0.0596,50
german,GAT+FAME,Overall Accuracy Equality Difference,0.0509,0.0410,0.0406,0.0622,50
german,GAT+FAME,Treatment Equality Difference,0.8447,2.7695,0.1881,1.6909,50
german,GAT+FAME,Accuracy,0.6430,0.1488,0.5978,0.6810,50
german,GAT+FAME+PFR,Statistical Parity Difference,0.0262,0.0555,0.0011,0.0588,11
german,GAT+FAME+PFR,Equal Opportunity Difference,0.0193,0.0430,0.0000,0.0444,11
german,GAT+FAME+PFR,Overall Accuracy Equality Difference,0.0349,0.0105,0.0293,0.0415,11
german,GAT+FAME+PFR,Treatment Equality Difference,0.3558,1.0193,0.0000,0.9740,11
german,GAT+FAME+PFR,Accuracy,0.6526,0.1546,0.5571,0.7228,11
german,GAT+PFR,Statistical Parity Difference,0.0000,0.0000,0.0000,0.0000,11
german,GAT+PFR,Equal Opportunity Difference,0.0000,0.0000,0.0000,0.0000,11
german,GAT+PFR,Overall Accuracy Equality Difference,0.0340,0.0000,0.0340,0.0340,11
german,GAT+PFR,Treatment Equality Difference,0.0000,0.0000,0.0000,0.0000,11
german,GAT+PFR,Accuracy,0.4392,0.2248,0.3177,0.5608,11
german,GCN,Statistical Parity Difference,0.0018,0.0113,0.0000,0.0052,50
german,GCN,Equal Opportunity Difference,0.0005,0.0026,0.0000,0.0013,50
german,GCN,Overall Accuracy Equality Difference,0.0352,0.0070,0.0340,0.0376,50
german,GCN,Treatment Equality Difference,0.0448,0.3165,0.0000,0.1343,50
german,GCN,Accuracy,0.6010,0.1982,0.5449,0.6543,50
german,GCN+FAME,Statistical Parity Difference,0.0000,0.0000,0.0000,0.0000,50
german,GCN+FAME,Equal Opportunity Difference,0.0000,0.0000,0.0000,0.0000,50
german,GCN+FAME,Overall Accuracy Equality Difference,0.0340,0.0000,0.0340,0.0340,50
german,GCN+FAME,Treatment Equality Difference,0.0000,0.0000,0.0000,0.0000,50
german,GCN+FAME,Accuracy,0.7228,0.0000,0.7228,0.7228,50
german,GCN+FAME+PFR,Statistical Parity Difference,0.0034,0.0058,0.0000,0.0067,11
german,GCN+FAME+PFR,Equal Opportunity Difference,0.0047,0.0081,0.0000,0.0094,11
german,GCN+FAME+PFR,Overall Accuracy Equality Difference,0.0373,0.0058,0.0340,0.0407,11
german,GCN+FAME+PFR,Treatment Equality Difference,0.0119,0.0203,0.0000,0.0237,11
german,GCN+FAME+PFR,Accuracy,0.7201,0.0046,0.7174,0.7228,11
german,GCN+PFR,Statistical Parity Difference,0.0014,0.0047,0.0000,0.0042,11
german,GCN+PFR,Equal Opportunity Difference,0.0053,0.0177,0.0000,0.0160,11
german,GCN+PFR,Overall Accuracy Equality Difference,0.0418,0.0259,0.0340,0.0574,11
german,GCN+PFR,Treatment Equality Difference,0.4318,1.4322,0.0000,1.2955,11
german,GCN+PFR,Accuracy,0.6526,0.1584,0.5527,0.7228,11
german,GIN,Statistical Parity Difference,0.0361,0.0783,0.0164,0.0589,50
german,GIN,Equal Opportunity Difference,0.0344,0.0716,0.0157,0.0557,50
german,GIN,Overall Accuracy Equality Difference,0.0381,0.0155,0.0342,0.0426,50
german,GIN,Treatment Equality Difference,0.3230,1.0544,0.0871,0.6526,50
german,GIN,Accuracy,0.7069,0.0400,0.6950,0.7162,50
german,GIN+PFR,Statistical Parity Difference,0.0045,0.0151,0.0000,0.0136,11
german,GIN+PFR,Equal Opportunity Difference,0.0061,0.0201,0.0000,0.0182,11
german,GIN+PFR,Overall Accuracy Equality Difference,0.0323,0.0054,0.0291,0.0340,11
german,GIN+PFR,Treatment Equality Difference,0.0182,0.0603,0.0000,0.0545,11
german,GIN+PFR,Accuracy,0.7219,0.0030,0.7201,0.7228,11
