dataset,model,seed,Accuracy,Statistical Parity Difference,Equal Opportunity Difference,Overall Accuracy Equality Difference,Treatment Equality Difference,diagnostics_pred_pos_overall,status
bail,GCN,19,0.6866,0.0377,0.0338,0.0489,10.5591,0.0985,OK
bail,GCN,20,0.6305,0.0035,0.0003,0.0641,19.7500,0.0169,OK
bail,GCN,21,0.6893,0.0125,0.0025,0.0392,1.6896,0.1657,OK
bail,GCN,22,0.6294,0.0054,0.0002,0.0663,241.2500,0.0138,OK
bail,GCN,23,0.6993,0.0321,0.0201,0.0500,9.7882,0.1069,OK
bail,GCN,24,0.7713,0.0348,0.0155,0.0484,0.3941,0.2181,OK
bail,GCN,25,0.6776,0.0245,0.0120,0.0571,18.6429,0.0789,OK
bail,GCN,26,0.6257,0.0043,0.0023,0.0677,50.1667,0.0143,OK
bail,GCN,27,0.6199,0.0221,0.0101,0.0453,0.1618,0.5601,OK
bail,GCN,28,0.8512,0.0875,0.0394,0.0175,0.2808,0.3838,OK
bail,GCN,29,0.7433,0.0261,0.0109,0.0348,0.6446,0.2546,OK
bail,GCN,30,0.7348,0.0131,0.0100,0.0079,1.3974,0.2515,OK
bail,GCN,31,0.6310,0.0020,0.0113,0.0672,17.5000,0.0143,OK
bail,GCN,32,0.6490,0.0252,0.0146,0.0637,12.0649,0.0619,OK
bail,GCN,33,0.7253,0.0063,0.0372,0.0617,1.8667,0.1159,OK
bail,GCN,34,0.6178,0.0017,0.0003,0.0630,56.1333,0.0053,OK
bail,GCN,35,0.6496,0.0027,0.0129,0.0668,196.6667,0.0328,OK
bail,GCN,36,0.7422,0.0218,0.0330,0.0203,0.4271,0.3573,OK
bail,GCN,37,0.6670,0.0149,0.0021,0.0622,14.9881,0.0662,OK
bail,GCN,38,0.6210,0.0000,0.0000,0.0649,0.0000,0.0000,COLLAPSED
bail,GCN,39,0.6850,0.0112,0.0077,0.0586,31.4000,0.0725,OK
bail,GCN,40,0.6247,0.0065,0.0007,0.0678,59.1905,0.0143,OK
bail,GCN,41,0.6760,0.0208,0.0101,0.0562,19.5758,0.0731,OK
bail,GCN,42,0.7364,0.0167,0.0202,0.0555,20.3929,0.1271,OK
bail,GCN,43,0.7136,0.0113,0.0196,0.0117,2.0237,0.2388,OK
bail,GCN,44,0.8274,0.0317,0.0294,0.0438,2.2571,0.2319,OK
bail,GCN,45,0.6331,0.0069,0.0130,0.0565,36.1667,0.0196,OK
bail,GCN,46,0.7215,0.0323,0.0197,0.0418,1.8222,0.1355,OK
bail,GCN,47,0.6988,0.0215,0.0048,0.0532,15.3667,0.0948,OK
bail,GCN,48,0.6914,0.0270,0.0265,0.0454,18.7750,0.0842,OK
bail,GCN,49,0.6210,0.0000,0.0000,0.0649,0.0000,0.0000,COLLAPSED
bail,GIN,0,0.7258,0.0318,0.0147,0.0391,0.0038,0.6236,OK
bail,GIN,1,0.9153,0.0706,0.0443,0.0164,0.1488,0.3970,OK
bail,GIN,2,0.9291,0.0688,0.0483,0.0154,0.2147,0.3494,OK
bail,GIN,3,0.9095,0.0598,0.0326,0.0191,0.0104,0.4071,OK
bail,GIN,4,0.8280,0.0486,0.0335,0.0337,0.0327,0.5045,OK
bail,GIN,5,0.4415,0.0075,0.0058,0.0615,0.0035,0.9354,OK
bail,GIN,6,0.9317,0.0691,0.0407,0.0082,0.1000,0.3393,OK
bail,GIN,7,0.9195,0.0808,0.0472,0.0083,0.3182,0.3917,OK
bail,GIN,8,0.9264,0.0628,0.0468,0.0184,1.5909,0.3404,OK
bail,GIN,9,0.9142,0.0647,0.0438,0.0227,0.0874,0.4023,OK
bail,GIN,10,0.5019,0.0381,0.0066,0.0304,0.0031,0.8687,OK
bail,GIN,11,0.9333,0.0676,0.0409,0.0136,0.0729,0.3600,OK
