dataset,model,seed,Accuracy,Statistical Parity Difference,Equal Opportunity Difference,Overall Accuracy Equality Difference,Treatment Equality Difference,diagnostics_pred_pos_overall,status
german,GAT,8,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GAT,9,0.2772,0.0000,0.0000,0.0340,0.0000,0.0000,COLLAPSED
german,GAT,10,0.2772,0.0000,0.0000,0.0340,0.0000,0.0000,COLLAPSED
german,GAT,11,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GAT,12,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GAT,13,0.2772,0.0000,0.0000,0.0340,0.0000,0.0000,COLLAPSED
german,GAT,14,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GAT,15,0.2772,0.0000,0.0000,0.0340,0.0000,0.0000,COLLAPSED
german,GAT,16,0.2772,0.0000,0.0000,0.0340,0.0000,0.0000,COLLAPSED
german,GAT,17,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GAT,18,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GAT,19,0.2772,0.0000,0.0000,0.0340,0.0000,0.0000,COLLAPSED
german,GAT,20,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GAT,21,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GAT,22,0.2772,0.0000,0.0000,0.0340,0.0000,0.0000,COLLAPSED
german,GAT,23,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GAT,24,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GAT,25,0.2772,0.0000,0.0000,0.0340,0.0000,0.0000,COLLAPSED
german,GAT,26,0.2772,0.0000,0.0000,0.0340,0.0000,0.0000,COLLAPSED
german,GAT,27,0.2772,0.0000,0.0000,0.0340,0.0000,0.0000,COLLAPSED
german,GAT,28,0.2772,0.0000,0.0000,0.0340,0.0000,0.0000,COLLAPSED
german,GAT,29,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GAT,31,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GAT,32,0.2772,0.0000,0.0000,0.0340,0.0000,0.0000,COLLAPSED
german,GAT,33,0.2772,0.0000,0.0000,0.0340,0.0000,0.0000,COLLAPSED
german,GAT,34,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GAT,35,0.2772,0.0000,0.0000,0.0340,0.0000,0.0000,COLLAPSED
german,GAT,36,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GAT,37,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GAT,38,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GAT,39,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GAT,40,0.2772,0.0000,0.0000,0.0340,0.0000,0.0000,COLLAPSED
german,GAT,41,0.2772,0.0000,0.0000,0.0340,0.0000,0.0000,COLLAPSED
german,GAT,42,0.2772,0.0000,0.0000,0.0340,0.0000,0.0000,COLLAPSED
german,GAT,43,0.2772,0.0000,0.0000,0.0340,0.0000,0.0000,COLLAPSED
german,GAT,44,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GAT,45,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GAT,46,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GAT,47,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GAT,48,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GAT,49,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GAT,50,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GCN,0,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GCN,1,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GCN,2,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GCN,3,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GCN,4,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GCN,5,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GCN,6,0.2772,0.0000,0.0000,0.0340,0.0000,0.0000,COLLAPSED
german,GCN,7,0.2871,0.0123,0.0172,0.0463,0.0000,0.0099,OK
german,GCN,8,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GCN,9,0.2772,0.0000,0.0000,0.0340,0.0000,0.0000,COLLAPSED
german,GCN,10,0.2772,0.0000,0.0000,0.0340,0.0000,0.0000,COLLAPSED
german,GCN,11,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GCN,12,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GCN,13,0.2772,0.0000,0.0000,0.0340,0.0000,0.0000,COLLAPSED
german,GCN,14,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GCN,15,0.4158,0.0790,0.0057,0.0821,2.2381,0.3366,OK
german,GCN,16,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GCN,17,0.2772,0.0000,0.0000,0.0340,0.0000,0.0000,COLLAPSED
german,GCN,18,0.2772,0.0000,0.0000,0.0340,0.0000,0.0000,COLLAPSED
german,GCN,19,0.2772,0.0000,0.0000,0.0340,0.0000,0.0000,COLLAPSED
german,GCN,20,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GCN,21,0.2772,0.0000,0.0000,0.0340,0.0000,0.0000,COLLAPSED
german,GCN,22,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GCN,23,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GCN,24,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GCN,25,0.2772,0.0000,0.0000,0.0340,0.0000,0.0000,COLLAPSED
german,GCN,26,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GCN,27,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GCN,28,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GCN,29,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GCN,31,0.2772,0.0000,0.0000,0.0340,0.0000,0.0000,COLLAPSED
german,GCN,32,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GCN,33,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GCN,34,0.2772,0.0000,0.0000,0.0340,0.0000,0.0000,COLLAPSED
german,GCN,35,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GCN,36,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GCN,37,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GCN,38,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GCN,39,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GCN,40,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GCN,41,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GCN,42,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GCN,43,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GCN,44,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GCN,45,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GCN,46,0.2772,0.0000,0.0000,0.0340,0.0000,0.0000,COLLAPSED
german,GCN,47,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GCN,48,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GCN,49,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GCN,50,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GIN,0,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GIN,1,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GIN,2,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GIN,3,0.6436,0.0401,0.0069,0.0704,0.3333,0.7822,OK
german,GIN,4,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GIN,5,0.5644,0.3154,0.2747,0.0802,3.2105,0.7030,OK
german,GIN,6,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GIN,7,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GIN,8,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GIN,9,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GIN,10,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GIN,11,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GIN,12,0.7030,0.1000,0.1333,0.0660,0.4000,0.9802,OK
german,GIN,13,0.7129,0.0500,0.0667,0.0160,0.2000,0.9901,OK
german,GIN,14,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GIN,15,0.6238,0.2025,0.2103,0.0920,1.3889,0.7624,OK
german,GIN,16,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GIN,17,0.7129,0.0123,0.0172,0.0463,0.0435,0.9901,OK
german,GIN,18,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GIN,19,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GIN,20,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GIN,21,0.6931,0.1877,0.1828,0.0537,0.7065,0.9505,OK
german,GIN,22,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GIN,23,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GIN,24,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GIN,25,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GIN,26,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GIN,27,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GIN,28,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GIN,29,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GIN,30,0.5347,0.2420,0.1540,0.0191,6.6250,0.5941,OK
german,GIN,31,0.7129,0.0500,0.0667,0.0160,0.2000,0.9901,OK
german,GIN,32,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GIN,33,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GIN,34,0.6337,0.1278,0.1264,0.0420,0.9608,0.7525,OK
german,GIN,35,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GIN,36,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GIN,37,0.7228,0.2377,0.2000,0.0284,1.0000,0.9406,OK
german,GIN,38,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GIN,39,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GIN,40,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GIN,41,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GIN,42,0.6733,0.2006,0.2149,0.0914,0.8636,0.9109,OK
german,GIN,43,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GIN,44,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GIN,45,0.6733,0.0383,0.0644,0.0290,0.2182,0.9307,OK
german,GIN,46,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GIN,47,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GIN,48,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GIN,49,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
