dataset,model,seed,split_seed,train_split,val_split,test_split,Accuracy,Statistical Parity Difference,Equal Opportunity Difference,Overall Accuracy Equality Difference,Treatment Equality Difference,diagnostics_n_test,diagnostics_n_S0,diagnostics_n_S1,diagnostics_n_pos_S0,diagnostics_n_pos_S1,diagnostics_TPR_denom_S0,diagnostics_TPR_denom_S1,diagnostics_FPR_denom_S0,diagnostics_FPR_denom_S1,diagnostics_pred_pos_overall,diagnostics_pred_pos_S0,diagnostics_pred_pos_S1,diagnostics_TPR_S0,diagnostics_TPR_S1,diagnostics_FPR_S0,diagnostics_FPR_S1
bail,GAT,28,42,0.80,0.10,0.10,0.3790,0.0000,0.0000,0.0649,0.0000,1889,906,983,374,342,374,342,532,641,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
bail,GAT,29,42,0.80,0.10,0.10,0.3790,0.0000,0.0000,0.0649,0.0000,1889,906,983,374,342,374,342,532,641,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
bail,GAT,30,42,0.80,0.10,0.10,0.6210,0.0000,0.0000,0.0649,0.0000,1889,906,983,374,342,374,342,532,641,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
bail,GAT,31,42,0.80,0.10,0.10,0.3790,0.0000,0.0000,0.0649,0.0000,1889,906,983,374,342,374,342,532,641,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
bail,GAT,32,42,0.80,0.10,0.10,0.3790,0.0000,0.0000,0.0649,0.0000,1889,906,983,374,342,374,342,532,641,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
bail,GAT,33,42,0.80,0.10,0.10,0.6210,0.0000,0.0000,0.0649,0.0000,1889,906,983,374,342,374,342,532,641,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
bail,GAT,34,42,0.80,0.10,0.10,0.6210,0.0000,0.0000,0.0649,0.0000,1889,906,983,374,342,374,342,532,641,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
bail,GAT,35,42,0.80,0.10,0.10,0.3790,0.0000,0.0000,0.0649,0.0000,1889,906,983,374,342,374,342,532,641,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
bail,GAT,36,42,0.80,0.10,0.10,0.6210,0.0000,0.0000,0.0649,0.0000,1889,906,983,374,342,374,342,532,641,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
bail,GAT,37,42,0.80,0.10,0.10,0.3790,0.0000,0.0000,0.0649,0.0000,1889,906,983,374,342,374,342,532,641,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
bail,GAT,38,42,0.80,0.10,0.10,0.3790,0.0000,0.0000,0.0649,0.0000,1889,906,983,374,342,374,342,532,641,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
bail,GAT,39,42,0.80,0.10,0.10,0.6210,0.0000,0.0000,0.0649,0.0000,1889,906,983,374,342,374,342,532,641,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
bail,GAT,40,42,0.80,0.10,0.10,0.6310,0.0287,0.0007,0.0779,4.5346,1889,906,983,374,342,374,342,532,641,0.0789,0.0938,0.0651,0.1176,0.1170,0.0771,0.0374
bail,GAT,41,42,0.80,0.10,0.10,0.6210,0.0000,0.0000,0.0649,0.0000,1889,906,983,374,342,374,342,532,641,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
